Idade,Faixa de idade,Genero,Cor/Raça/Etnia,PDC,Estado_onde_mora,Uf,Regiao_onde_mora,Mudou_de_estado,Regiao_de_Origem,Nivel_de_Ensino,Area_de_Formacao,Situacao_atual_de_trabalho,Setor,Num_func_empresa_que_trabalha,Cargo_Atual,Nível,Faixa_Salarial,Salario_Medio,Tempo_de_experiencia_na_area_de_dados,Atual_forma_de_trabalho,Papeis/cargos_do_time/chapter_de_dados,Analytics_Engineer,Engenharia_de_Dados/Data_Engineer,Analista_de_Dados/Data_Analyst,Cientista_de_Dados/Data_Scientist,Database_Administrator/DBA,Analista_de_Business_Intelligence/BI,Arquiteto_de_Dados/Data_Architect,Data_Product_Manager/DPM,Business_Analyst,SQL,R,Python,C/C++/C#,NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,Rust,PHP,JavaScript,Não utilizo nenhuma linguagem,Azure (Microsoft),Amazon Web Services (AWS),Google Cloud (GCP),Oracle Cloud,IBM,Servidores On Premise/Não utilizamos Cloud,Cloud Própria,Microsoft PowerBI,Qlik View/Qlik Sense,Tableau,Metabase,Superset,Redash,Looker,Looker Studio(Google Data Studio),Amazon Quicksight,Mode,Alteryx,MicroStrategy,IBM Analytics/Cognos,SAP Business Objects/SAP Analytics,Oracle Business Intelligence,Salesforce/Einstein Analytics,Birst,SAS Visual Analytics,Grafana,TIBCO Spotfire,Pentaho,Fazemos todas as análises utilizando apenas Excel ou planilhas do google,Não utilizo nenhuma ferramenta de BI no trabalho,IDHM,PIB_2021_OR
31,30-34,Masculino,Branca,Não,Minas Gerais (MG),MG,Sudeste,1.0,,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,14000.5,de 3 a 4 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.774,857593.0
30,30-34,Masculino,Branca,Não,Espírito Santo (ES),ES,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,de 101 a 500,Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,7000.5,de 3 a 4 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,186337.0
37,35-39,Feminino,Amarela,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Dados/Data Analyst,Júnior,de R$ 6.001/mês a R$ 8.000/mês,7000.5,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.806,2719751.0
22,22-24,Masculino,Preta,Não,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,2719751.0
34,30-34,Masculino,Branca,Não,Minas Gerais (MG),MG,Sudeste,1.0,,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),Outra Opção,de 101 a 500,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,5000.5,Menos de 1 ano,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.774,857593.0
30,30-34,Masculino,Branca,Não,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 51 a 100,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,10000.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762,949301.0
24,22-24,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,5000.5,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.806,2719751.0
35,35-39,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,0.0,São Paulo (SP),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,,,de R$ 20.001/mês a R$ 25.000/mês,22500.5,de 7 a 10 anos,Modelo 100% remoto,Engenharia de Dados/Data Engineer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,2719751.0
27,25-29,Masculino,Parda,Não,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762,949301.0
28,25-29,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,2719751.0
25,25-29,Masculino,Preta,Sim,Sergipe (SE),SE,Nordeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Público,de 101 a 500,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,de 1 a 2 anos,Modelo 100% presencial,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.702,51861.0
46,45-49,Feminino,Parda,Não,Pernambuco (PE),PE,Nordeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.719,220814.0
32,30-34,Feminino,Preta,Não,Rio Grande do Sul (RS),RS,Sul,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1.000,Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,581284.0
39,35-39,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,,,de R$ 16.001/mês a R$ 20.000/mês,18000.5,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,"Analista de Dados/Data Analyst, Arquiteto de Dados/Data Architect, Engenharia de Dados/Data Engineer, Machine Learning Engineer/AI Engineer, Data Product Manager/DPM, Cientista de Dados/Data Scientist, Analista de Business Intelligence/BI, Business Analyst, Analytics Engineer",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,2719751.0
36,35-39,Masculino,Branca,Não,Distrito Federal (DF),DF,Centro-oeste,0.0,Goiás (GO),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Tecnologia/Fábrica de Software,Acima de 3.000,,,de R$ 12.001/mês a R$ 16.000/mês,14000.5,de 7 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,"Cientista de Dados/Data Scientist, Engenharia de Dados/Data Engineer, Machine Learning Engineer/AI Engineer, Analista de Business Intelligence/BI, Analista de Dados/Data Analyst, Arquiteto de Dados/Data Architect, Business Analyst, Analytics Engineer",1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814,286944.0
35,35-39,Feminino,Branca,Não,Minas Gerais (MG),MG,Sudeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 51 a 100,,,de R$ 8.001/mês a R$ 12.000/mês,10000.5,de 4 a 6 anos,Modelo 100% remoto,"Analista de Dados/Data Analyst, Engenharia de Dados/Data Engineer, Analista de Business Intelligence/BI, Cientista de Dados/Data Scientist",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774,857593.0
29,25-29,Feminino,Branca,Não,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Servidor Público,Setor Público,Acima de 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,5000.5,de 5 a 6 anos,Modelo 100% remoto,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.762,949301.0
29,25-29,Feminino,Prefiro não informar,Não,Minas Gerais (MG),MG,Sudeste,0.0,Rio de Janeiro (RJ),Mestrado,Outra opção,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,Analista de Negócios/Business Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.774,857593.0
27,25-29,Masculino,Parda,Não,Paraná (PR),PR,Sul,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 11 a 50,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 3 a 4 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.769,549973.0
31,30-34,Masculino,Branca,Não,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Entretenimento ou Esportes,Acima de 3.000,,,de R$ 8.001/mês a R$ 12.000/mês,10000.5,de 7 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,"Analista de Dados/Data Analyst, Analytics Engineer, Machine Learning Engineer/AI Engineer, Arquiteto de Dados/Data Architect, Business Analyst, Data Product Manager/DPM, Database Administrator/DBA, Cientista de Dados/Data Scientist, Engenharia de Dados/Data Engineer, Analista de Business Intelligence/BI",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762,949301.0
35,35-39,Masculino,Parda,Não,Paraíba (PB),PB,Nordeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,de 1.001 a 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,14000.5,de 5 a 6 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698,77470.0
35,35-39,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Internet/Ecommerce,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,14000.5,de 7 a 10 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.806,2719751.0
29,25-29,Masculino,Branca,Não,Paraná (PR),PR,Sul,0.0,Rio de Janeiro (RJ),Graduação/Bacharelado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Área da Saúde,Acima de 3.000,Cientista de Dados/Data Scientist,Sênior,Acima de R$ 40.001/mês,,de 5 a 6 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,549973.0
44,40-44,Feminino,Branca,Não,Minas Gerais (MG),MG,Sudeste,1.0,,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,de 51 a 100,,,de R$ 8.001/mês a R$ 12.000/mês,10000.5,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,Analista de Dados/Data Analyst,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774,857593.0
25,25-29,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Alimentício,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 6.001/mês a R$ 8.000/mês,7000.5,de 1 a 2 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,2719751.0
36,35-39,Masculino,Branca,Não,Acre (AC),,,1.0,,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Setor Alimentício,de 1.001 a 3.000,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Menos de 1 ano,Modelo 100% presencial,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
36,35-39,Feminino,Parda,Não,Minas Gerais (MG),MG,Sudeste,1.0,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,de 101 a 500,,,de R$ 12.001/mês a R$ 16.000/mês,14000.5,Mais de 10 anos,Modelo 100% presencial,"Analista de Business Intelligence/BI, Analista de Dados/Data Analyst",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774,857593.0
46,45-49,Masculino,Branca,Não,Santa Catarina (SC),SC,Sul,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Educação,de 51 a 100,Professor/Pesquisador,Pleno,de R$ 8.001/mês a R$ 12.000/mês,10000.5,de 1 a 2 anos,Modelo 100% presencial,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792,428571.0
33,30-34,Feminino,Parda,Não,São Paulo (SP),SP,Sudeste,0.0,Rio de Janeiro (RJ),Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,7000.5,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,2719751.0
30,30-34,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,0.0,Minas Gerais (MG),Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,de 101 a 500,Economista,Pleno,de R$ 8.001/mês a R$ 12.000/mês,10000.5,de 5 a 6 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,2719751.0
32,30-34,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,1.0,,Não tenho graduação formal,,Empregado (CLT),Área de Consultoria,de 11 a 50,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de R$ 12.001/mês a R$ 16.000/mês,14000.5,de 7 a 10 anos,Modelo 100% remoto,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,2719751.0
38,35-39,Masculino,Preta,Não,São Paulo (SP),SP,Sudeste,1.0,,Não tenho graduação formal,,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1.000,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês,18000.5,de 7 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,2719751.0
36,35-39,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,0.0,Nasci/me formei fora do Brasil,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Setor Alimentício,de 101 a 500,,,de R$ 25.001/mês a R$ 30.000/mês,27500.5,de 7 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Cientista de Dados/Data Scientist, Engenharia de Dados/Data Engineer, Machine Learning Engineer/AI Engineer, Analytics Engineer",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,2719751.0
53,50-54,Masculino,Branca,Não,Rio Grande do Sul (RS),RS,Sul,1.0,,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Entretenimento ou Esportes,de 501 a 1.000,Professor/Pesquisador,Pleno,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 1 a 2 anos,Modelo 100% presencial,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.771,581284.0
23,22-24,Masculino,Amarela,Prefiro não informar,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Marketing,Acima de 3.000,Cientista de Dados/Data Scientist,Pleno,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 3 a 4 anos,Modelo 100% remoto,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,2719751.0
31,30-34,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área da Saúde,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês,10000.5,de 3 a 4 anos,Modelo 100% presencial,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,2719751.0
33,30-34,Feminino,Branca,Não,Bahia (BA),BA,Nordeste,0.0,Rio de Janeiro (RJ),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Área de Consultoria,de 501 a 1.000,Analista de Negócios/Business Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês,5000.5,de 7 a 10 anos,Modelo 100% remoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691,352618.0
36,35-39,Masculino,Branca,Não,Santa Catarina (SC),SC,Sul,0.0,Rio Grande do Sul (RS),Mestrado,Outras Engenharias,Empregado (CLT),Varejo,Acima de 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,10000.5,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792,428571.0
